iter	MultiClass
0	1.624379299
1	1.496597641
2	1.387882218
3	1.313696691
4	1.238745799
5	1.180845886
6	1.127034729
7	1.088688177
8	1.049035541
9	1.011176788
10	0.9739103293
11	0.9479108759
12	0.9056780321
13	0.8851368942
14	0.8546158891
15	0.8321738085
16	0.8150782845
17	0.792358679
18	0.7703738633
19	0.7568983185
20	0.7368933532
21	0.7247300429
22	0.704626824
23	0.6867148814
24	0.6690337348
25	0.6542847397
26	0.6370598612
27	0.6219402323
28	0.6133935528
29	0.6034508317
30	0.5907019642
31	0.5794727531
32	0.5672340338
33	0.5621706912
34	0.5523616224
35	0.5463352788
36	0.5376054619
37	0.5297475385
38	0.5246406287
39	0.5199901907
40	0.5143615899
41	0.5093162071
42	0.5016060323
43	0.4956449992
44	0.486577078
45	0.4823280574
46	0.4762486803
47	0.4730670398
48	0.467786849
49	0.461774117
50	0.4570783026
51	0.449517593
52	0.4457256566
53	0.4411014964
54	0.435183652
55	0.4308463614
56	0.4262744891
57	0.4243691559
58	0.4196300391
59	0.416900235
60	0.4102858412
61	0.4053783513
62	0.3992922836
63	0.395316518
64	0.3896704444
65	0.3835352351
66	0.3788659362
67	0.3741097949
68	0.3714407841
69	0.3667634135
70	0.36486528
71	0.3628327846
72	0.3602518403
73	0.3569784784
74	0.353652218
75	0.3521431855
76	0.3493708657
77	0.347311847
78	0.3435790436
79	0.3409771544
80	0.3386884871
81	0.3348309001
82	0.3310804027
83	0.328577403
84	0.3273091001
85	0.3238151399
86	0.3206236638
87	0.3190476265
88	0.3153565343
89	0.3133877256
90	0.3124005172
91	0.3102041179
92	0.3074032262
93	0.3058058917
94	0.3044106837
95	0.3020113033
96	0.2997126735
97	0.2970817235
98	0.2938035266
99	0.2917390268
