iter	Passed	Remaining
0	135	13438
1	139	6846
2	143	4633
3	147	3534
4	151	2871
5	154	2427
6	158	2108
7	162	1869
8	166	1680
9	170	1530
10	173	1407
11	177	1303
12	181	1213
13	184	1134
14	188	1067
15	192	1011
16	196	958
17	200	911
18	203	869
19	207	830
20	211	795
21	214	761
22	218	730
23	222	703
24	226	678
25	230	654
26	233	632
27	237	611
28	241	591
29	245	572
30	249	554
31	253	537
32	257	521
33	260	505
34	264	491
35	268	476
36	271	462
37	274	448
38	278	435
39	281	422
40	285	410
41	288	398
42	292	387
43	295	376
44	299	365
45	302	355
46	306	345
47	309	335
48	313	326
49	316	316
50	320	307
51	324	299
52	327	290
53	331	282
54	335	274
55	338	266
56	342	258
57	349	253
58	355	247
59	359	239
60	363	232
61	367	225
62	371	218
63	380	213
64	384	207
65	389	200
66	394	194
67	399	187
68	404	181
69	409	175
70	415	169
71	425	165
72	429	158
73	435	152
74	439	146
75	442	139
76	447	133
77	451	127
78	456	121
79	462	115
80	466	109
81	471	103
82	476	97
83	481	91
84	485	85
85	490	79
86	495	74
87	499	68
88	504	62
89	508	56
90	513	50
91	516	44
92	520	39
93	523	33
94	527	27
95	530	22
96	534	16
97	544	11
98	548	5
99	558	0
